Mo,Tu,We,Th,Fr,rating
CSCI8980-001,PSY8036,"CSCI8980-001, ME5248",,ME5248,7
CSCI8980-001,EE8231,"CSCI8980-001, ME5248",EE8231,,1
MATH5466,"PSY8036, CSCI5512",MATH5466,CSCI5512,,6
"MATH5466, CSCI8980-002",PSY8036,"MATH5466, CSCI8980-002",BMEN5151,,6
"MATH5466, CSCI8980-002","PSY8036, CSCI5512","MATH5466, CSCI8980-002",CSCI5512,,5
CSCI8980-001,ME3222,"CSCI8980-001, EE8215",ME3222,EE8215,6
MATH5466,PSY8036,"MATH5466, EE8215",,EE8215,7
MATH5466,"EE8231, PSY8036",MATH5466,EE8231,,7
CSCI8980-002,"EE8231, PSY8036","ME5248, CSCI8980-002",EE8231,ME5248,2
,"EE8231, PSY8036, CSCI5512",,"EE8231, CSCI5512",,4
,EE5235,"ME5248, EE8215",EE5235,"ME5248, EE8215",5
MATH5466,EE5235,MATH5466,"EE5235, BMEN5151",,8
,EE5235,ME5248,EE5235,ME5248,3
"MATH5466, CSCI8980-003",PSY8036,"MATH5466, CSCI8980-003",,,10
CSCI8980-003,EE8231,"CSCI8980-003, EE8215",EE8231,EE8215,6
"MATH5466, CSCI8980-003",,"MATH5466, CSCI8980-003, EE8215",,EE8215,5
"MATH5466, CSCI8980-003",CSCI5541,"MATH5466, CSCI8980-003",CSCI5541,,8
CSCI8980-001,"PSY8036, ME3222",CSCI8980-001,ME3222,,0
MATH5466,"CSCI5541, ME3222",MATH5466,"CSCI5541, ME3222",,0
MATH5466,ME3222,MATH5466,"ME3222, BMEN5151",,0
,"CSCI5541, ME3222, PSY8036",,"CSCI5541, ME3222",,0